abaissé;descendu
hostilités;belliqueuses
hôtelier;voyagiste
hôtelière;commerciale
hôteliers;touristes
hôtellerie;industrie
hôtels;auberges
hôtes;chambres
houille;potasse
houle;rafaleux
houlette;direction
houleux;conflictuel
houligan;fitzroyensis
hourra;yessss
house;apartment
housse;bachette
housses;valisettes
huile;argane
huiler;poncer
huilerie;arachide
huileux;pateux
huissier;syndic
huissiers;argousins
huit cents;prois
huître;coquille
huîtres;crevettes
hulotte;loriot
hululer;meugler
humain;individu
humaine;morale
humaines;fondamentales
humains;vivants
humaniste;visionnaire
humanitaires;onusiens
humanité;civilisation
humble;admirable
humbles;dignes
humecté;imbiber
humecter;touiller
humer;savourer
humeur;joyeuse
humide;chaud
humidifier;rincer
humidité;transpiration
humiliation;honte
humilier;outrager
humilité;bienveillance
humoriste;chanteur
humoristique;hilarante
humour;impertinence
hurlement;vacarme
hurler;sangloter
hurluberlu;freluquet
hurrah;clairons
hussite;panslave
hutte;campement
hyacinthe;topaze
hybrides;ligres
hydravion;biplace
hydrocarbures;gisements
hydrogène;combustible
hyène;gazelle
hygiène;nutrition
hymne;cantique
hyper;suuuuper
hypertension;coronarienne
hypertonie;anarthrie
hypnotiser;happer
hypocoristique;anthroponymes
hypocrisie;cynisme
hypocrite;honteux
hypodermique;intravasculaire
hypothèse;plausible
hypothèses;supputations
hypothétique;vraisemblable
hystérie;agitation
hystérique;mythomaniaque
iceberg;abysse
iceux;ainsy
ici-bas;cemonde
icône;imagette
ictère;anurie
idéal;parfais
idéale;avantageuse
idéaux;objectifs
idées;intuitions
identification;analyse
identifié;reconnu
identifier;localiser
identifiés;retenus
identique;correspond
identiques;ressemblantes
identités;socialisations
idéologie;croyance
idéologies;utopies
idéologique;doctrinaire
idéologiques;identitaires
idéologues;marxisants
idiot;irresponsable
idiote;ignorante
idiotie;hypocrisie
idolâtrer;encenser
idolâtrie;apostasie
ignare;idiot
ignoble;odieuse
ignominie;abjecte
ignominieux;affreux
ignorait;apprenait
ignorance;hypocrisie
ignorant;pensant
ignore;interroge
ignorent;pensent
ignorer;comprendre
illégal;interdit
illégale;clandestine
illégales;interdites
illégaux;frauduleux
illégitime;inique
illégitimité;imposture
illettré;abruti
illicite;condamnable
illicites;condamnables
illimité;forfait
illimitée;exclusive
illisible;inutile
illogique;contradictoire
illuminer;magnifier
illusion;ignorance
illusionner;mystifier
illusions;euphories
illusoire;absurde
illustrant;expliquant
illustration;photographie
illustrations;lithographies
illustre;atteste
illustrée;reproduite
illustrent;relatent
illustrer;inspirer
image;photo
imagé;clair
images;illustratives
imaginaire;onirisme
imagination;fantaisie
imagine;devine
imaginé;choisi
imaginée;voulue
imaginer;entrevoir
imaginez;comprendrez
imbattable;exceptionnel
imbécile;hypocrite
imbroglio;invraisemblable
imide;alkoxy
imitation;mimesis
imiter;encourager
immanquable;exceptionnel
immature;stupide
immédiat;inattendu
immédiate;effective
immédiatement;ensuite
immédiates;significatives
immédiats;ponctuels
immense;incroyable
immenses;titanesques
immensité;infinitude
immerger;familiariser
immeuble;quartier
immeubles;multilogements
immigrants;colons
immigré;apatride
immigrer;habiter
immigrés;clandestins
imminent;fatal
imminente;soudaine
immiscer;interposer
immixtion;collusion
immobile;accroupi
immobilière;notariale
immobilières;commerciales
immobiliers;commerciaux
immobilisme;aveuglement
immobilité;lenteur
immodéré;outrancier
immoler;outrager
immonde;affreux
immoral;inhumain
immortel;superpapa
immotivé;irrationaliste
immuable;intemporelle
immunisé;invulnerable
immuniser;contaminer
impact;potentiel
impair;multiplicande
imparfait;infinitif
impartial;bienveillant
impartialité;exactitude
impasse;situation
impassibilité;intransigeance
impassible;mutique
impatience;attente
impatient;heureux
impeccable;parfaite
impénitent;blagueur
impensable;inadmissible
imper;caban
impératif;urgent
impératifs;conjoncturels
impérativement;faudra
impératrice;empereurs
imperceptible;infime
imperfectif;inaccompli
imperfection;ridule
impérialiste;expansionnisme
impérieux;pressante
impérissable;intemporel
impéritie;veulerie
imperméable;hydrofuge
impersonnel;banal
impersonnellement;quelquefois
impertinence;extravagance
impertinent;subversif
impétueux;vigoureux
impie;apostat
impiété;perfidie
impitoyable;inflexible
implacable;inhumaine
implantation;agrandissement
implantations;filiales
implanté;construit
implantée;construite
implantées;construites
implanter;introduire
implantés;construits
implications;enjeux
implicite;indirecte
implicitement;facto
impliquant;amenant
implique;exclut
impliqué;intervenu
impliquer;initier
impliqués;participent
implorant;supplie
implorer;priant
impoli;condescendant
impopulaire;autocratique
importance;signification
important;significatif
importante;majeure
importantes;principales
importants;principaux
importateurs;fabriquants
importations;contingentements
importe;autant
importées;introduites
importer;produire
importés;vendus
importun;incommode
importuner;offenser
importunité;encoreque
imposait;appliquait
imposant;alignant
impose;autorise
imposé;choisi
imposée;permise
imposées;soumises
imposent;astreignent
imposer;amener
imposés;prescrits
imposition;fiscale
impossibilité;obligation
impossible;envisageable
impossibles;inutiles
imposteur;arnaqueur
impôt;fiscal
impotent;inapte
impôts;taxes
imprécation;injure
imprécis;hasardeux
imprenable;surplombe
impression;habitude
impressionnable;insensible
impressionnant;remarquable
impressionnante;remarquable
impressionné;admiratif
impressionner;bluffer
imprévisible;instable
imprévisibles;chaotiques
imprévoyant;feignant
imprévu;inhabituel
imprimé;papier
imprimer;envoyer
imprimerie;linotype
imprimés;papiers
imprimeur;photograveur
improbable;incongrue
impropre;inexacte
improvisation;ryhtmique
imprudent;hardi
impudence;inconvenance
impudent;faquin
impuissance;inaction
impuissant;inquiet
impulsion;houlette
impuni;odieux
impur;souillait
imputer;condamner
inabordable;impossible
inacceptable;injuste
inacceptables;absurdes
inaccessible;inexistant
inaccoutumé;extravagant
inactif;passif
inaction;ignorance
inadmissible;honteux
inadvertance;sciemment
inaltérable;intacte
inamical;arrogant
inanimé;incorporel
inapplicable;inconstitutionnelle
inapproprié;inconvenant
inapte;invalide
inassouvi;pulsionnel
inattendu;exceptionnel
inattendue;brutale
inattendus;paradoxaux
inattentif;indulgent
inattention;faute
inaugural;intercontinental
inauguration;lancement
inaugure;ouvrira
inauguré;rouvert
inaugurer;accueillir
incandescent;brasier
incapable;conscient
incapables;seuls
incapacité;insuffisance
incarcéré;prison
incarcérés;prison
incarnat;vermillon
incarne;affronte
incarné;personnifie
incarner;personnage
incendie;brasier
incendier;saccagent
incendies;saccages
incertain;chaotique
incertaine;floue
incertaines;inattendues
incertitude;angoisse
incertitudes;doutes
incessant;continuels
inchangé;stable
inchangée;originelle
incident;drame
incidents;regrettables
incinération;ensevelissement
incinérer;enfouir
incisive;rugueuse
incisives;tranchantes
incitation;apologie
incite;invitant
incité;contraint
incitent;contraignent
inciter;contraindre
incivil;outrageant
inclément;bruineux
inclinaison;pente
inclination;antipathie
incliné;vertical
incliner;abdiquer
incluant;combinant
inclure;associer
inclus;fournis
inclusivement;compter
incohérent;invraisemblable
incollable;ignare
incolore;citrin
incombe;implique
incommode;indispose
incommodité;foiblesse
incomparable;exceptionnel
incompatibilité;absence
incompatible;contradiction
incompatibles;contraires
incompétent;abruti
incomplet;insuffisant
incomplétude;imperfection
incompréhensible;inacceptable
incompréhension;insatisfaction
inconcevable;inadmissible
inconciliable;antinomiques
inconditionnel;soutien
inconfort;stress
inconfortable;difficile
incongru;anachronique
incongruité;aberration
inconnaissance;inintelligence
inconnu;obscur
inconnue;exacte
inconnues;inattendues
inconnus;anonymes
inconscience;arrogance
inconscient;psychique
inconséquent;idiot
inconsidéré;intempestif
inconsistant;inadaptable
inconsolable;triste
inconstance;avarice
inconstant;versatile
inconstitutionnel;discriminatoire
incontestablement;toujours
incontournable;majeur
inconvenance;sottise
inconvenant;scandaleux
inconvénient;atout
inconvénients;avantage
incorporation;ajout
incorrect;inexacte
incorrigible;intraitable
incorruptible;insaisissable
incrédule;inquiet
increvable;imputrescible
incrimination;punissable
incriminer;imputer
incroyable;fabuleuse
incroyant;apostat
inculpation;assassinat
inculpations;assassinats
inculpé;comparaissait
inculper;emprisonner
inculte;ignard
inculture;idiotie
incurie;veulerie
incursion;aventure
incurver;pivoter
indécence;arrogance
indécent;immoral
indéchiffrable;abscons
indécis;incertains
indécision;lassitude
indéfini;duratif
indéfiniment;longtemps
indélébile;marquant
indélicat;imprudent
indélicatesse;impudence
indemniser;condamner
indemnitaire;surcotisation
indemnité;compensation
indemnités;salaires
indéniable;attrait
indéniablement;aussi
indépendamment;fonction
indépendance;autonomie
indépendant;impartial
indépendante;autonome
indépendantes;fonctionnelles
indépendantiste;patriote
indépendantistes;patriotes
indépendants;nationaux
indésirable;perturbateur
indéterminé;ambigu
indéterminée;transitoire
index;seminum
indic;assassin
indicateur;pourcentage
indicateurs;chiffres
indicatif;titre
indication;raison
indications;succinctes
indice;pourcentage
indices;chiffres
indien;mexicain
indienne;bangladaise
indiennes;occidentales
indiens;autochtones
indifférence;hypocrisie
indifférent;pantois
indifférents;impavides
indigence;consternante
indigène;autochtones
indigènes;colonisateurs
indignation;ahurissement
indigne;minable
indigner;pleurnicher
indiquait;informait
indiquant;affirmant
indique;rappelle
indiquée;choisie
indiquent;soulignent
indiquer;identifier
indirect;universel
indirecte;concomitante
indirects;significatifs
indiscernable;perceptible
indiscret;insolent
indiscrétion;pudeur
indispensable;essentielle
indispensables;primordiaux
indisposition;cause
indissoluble;fusionnel
individu;animal
individuel;global
individuelle;sociale
individuellement;chaque
individuelles;multifamiliales
individuels;familiaux
individus;humains
indivis;usufruitier
indivisible;unitaire
indolemment;ombrageant
indolence;mollesse
indolent;apathique
indomptable;invincible
indonésien;singapourien
indubitable;infaillible
induire;causer
induit;provoque
indulgence;contrition
industrialisés;despays
industrie;agroalimentaire
industriel;financier
industrielle;artisanale
industrielles;urbaines
industriels;financiers
industries;secteurs
inédit;fascinant
inédite;audacieuse
inédits;exceptionnels
ineffable;immarcescible
inefficace;inutile
inégal;brutal
inégalé;incroyable
inégalité;discrimination
inégalités;injustices
inélégant;outrageant
inéluctable;imminent
inepte;minable
ineptie;consternante
inépuisable;foisonnante
inéquitable;illogique
inerte;apathique
inertie;inaction
inestimable;joyau
inévitable;impossible
inévitables;catastrophiques
inexact;illogique
inexercé;offertent
inexhaustible;immensurable
inexpérience;inadaptation
inexpérimenté;novice
inexpert;apprentif
inexpugnable;citadelle
infaillible;diabolique
infaisable;inutile
infâme;atroce
infamie;injustice
infanterie;landwehr
infantile;pathologique
infatigable;prolixe
infatuation;inintelligence
infécond;abortif
infect;malodorant
infecte;inocule
infecter;inoculer
infectieux;microbiens
infection;mycose
inféodé;asservi
inférieure;moyenne
inférieures;minimales
inférieurs;comparables
infernal;cauchemar
infernale;spirale
infichu;capable
infidèle;femme
infidélité;cocufiage
infime;immense
infini;exponentiel
infinie;absolue
infiniment;assez
infinité;foultitude
infirme;malade
infirmerie;ambulance
infirmier;hospitalier
infirmière;ambulancier
infirmières;pharmaciennes
infirmiers;praticiens
infirmité;blessure
inflammation;vasculopathie
inflation;hausse
inflationnistes;procycliques
infléchir;affaiblir
inflexible;imperturbable
infligé;subir
infliger;encourir
influence;importance
influencer;affecter
influences;orientalisantes
influent;important
influer;affecter
infondé;mensonger
informaticiens;geeks
information;analyse
informations;renseignements
informatiques;ordinateurs
informé;avertis
informée;consciente
informées;convaincues
informelle;organisante
informer;instruire
informés;attentifs
infortune;malheurs
infortuné;tourmentant
infoutu;imcapable
infraction;punissable
infractions;amendes
infrastructure;gouvernance
infrastructures;urbanisations
infructueux;satisfaisants
ingénierie;conception
ingénieur;polytechnicien
ingénieurs;polytechniciens
ingénieux;imaginatif
ingénu;raisonneur
ingénuité;roublardise
ingérence;diplomatie
ingrat;bourru
ingratitude;honte
ingrédients;produits
inguérissable;suppure
ingurgiter;empiffrer
inhabileté;aversive
inhabitable;inconstructible
inhabituel;bizarre
inhabituelle;incongrue
inhaler;tousser
inhérent;consubstantiellement
inhiber;antagoniser
inhumain;terrifiant
inhumanité;effroyable
inhumation;ensevelissement
inhumer;ensevelir
inimaginable;ahurissante
inimitié;aversion
inintelligible;baragouin
ininterrompu;discontinu
inique;liberticide
iniquité;injuste
initial;habituel
initiale;significative
initiales;significatives
initiateur;instigatrice
initiation;approfondissement
initiatique;romanesque
initiative;action
initiatives;mesures
initié;soutenu
initier;adonner
initiés;instruits
injecter;introduire
injection;perfusion
injure;insultes
injures;quolibets
injurier;insultent
injurieusement;outrager
injurieux;insultant
injuste;aberrant
injustement;incompris
injustice;ingratitude
injustices;humiliations
injustifié;inacceptable
inlassable;ardeur
inlassablement;cesse
innocence;tendresse
innocent;complice
innocenter;condamner
innombrable;foultitude
innombrables;immenses
innovation;technologie
innovations;nouvelles
inoccupé;locataire
inoffensif;toxique
inondation;centennale
inondations;incendies
inonder;saturer
inopérant;inefficient
inopiné;malencontreux
inopportun;aberrant
inoubliable;exceptionnel
inouï;prodigieux
inoxydable;acier
inquiet;anxieux
inquiétant;inhabituel
inquiétante;inhabituelle
inquiétantes;inattendues
inquiétants;inhabituels
inquiète;interroge
inquiéter;douter
inquiétés;poursuivis
inquiets;dubitatifs
inquiétude;frustration
inquiétudes;frustrations
insalubre;vetuste
insatiable;inassouvie
insatisfaction;impuissance
insatisfait;inquiet
insaturé;aliphatique
inscriptions;ouvertes
inscrire;engager
inscrit;devez
inscrite;admise
inscrites;admises
inscrits;participants
insecte;phasme
insécurité;injustice
insensé;irresponsable
insensibilité;mollesse
insensible;enclin
insensibles;dociles
insérer;ajouter
insertion;emploi
insidieux;subtil
insigne;honneur
insignifiant;mesquin
insinuation;plaisanterie
insinuer;penser
insipide;minable
insistance;implication
insistant;rappelant
insiste;admet
insisté;soulignant
insistent;reconnaissent
insister;appesantir
insociable;extraverti
insolence;impudeur
insolent;maladroit
insolite;inattendue
insolvable;banqueroute
insomnie;angoisse
insouciance;indolence
insouciant;oisif
insoucieux;inattentif
inspecter;investiguer
inspecteur;officier
inspecteurs;enseignants
inspectorat;subdivisionnaire
inspiration;source
inspire;exprime
inspirées;connues
inspirer;associer
inspirés;connus
instabilité;turbulence
instable;fluctuante
installations;infrastuctures
installer;migrer
instance;juridictionnalisation
instances;dirigeantes
instant;attendant
instantané;fulgurant
instants;brefs
instauration;abaissement
instauré;assoupli
instaurer;maintenir
instigateur;initiatrice
instiguer;visibiliser
instinct;pulsion
instinctif;machinal
instituant;organisant
institué;aboli
instituer;abolir
institut;laboratoire
instituteur;enseignante
instituteurs;profs
institution;gouvernance
institutionnel;culturel
institutionnelle;gouvernementale
institutionnelles;publiques
institutionnels;commerciaux
institutions;politiques
institutrice;maternelle
instituts;labos
instructeur;pilote
instruction;codificatrice
instructions;avertissements
instruire;dispenser
instrument;cordophone
instruments;organologiques
insu ;obsessionel
insuccès;essoufflement
insuffisamment;souvent
insuffisance;faiblesse
insuffisances;contradictions
insuffisant;inexistant
insuffisante;correcte
insuffisantes;correctes
insuffisants;incomplets
insulaire;ultramarin
insuline;glucagon
insultant;haineux
insultante;odieuse
insulte;provocation
insulter;harceler
insupportable;risible
insupportables;inutiles
insurgés;soldats
insurmontable;ardue
insurrection;mutinerie
intact;reconstruit
intacte;demeure
intarissable;inspiration
intégral;original
intégrale;originelle
intégralement;presque
intégrant;proposant
intégration;inclusion
intègre;enrichit
intégrée;performante
intégrées;incluses
intégrer;structurer
intégrisme;islamophobie
intégriste;fanatique
intégristes;bigots
intellect;animique
intellectuel;philosophique
intellectuelles;artistiques
intellectuels;militants
intelligence;empathie
intelligent;stupide
intelligente;novatrice
intelligentsia;germanopratine
intempérant;tracassant
intempestif;inopportun
intenable;alarmante
intendance;gestion
intendant;zonard
intense;passionnelle
intensément;davantage
intenses;douloureuses
intensif;continu
intensification;recrudescence
intensifier;diminuer
intensité;excitation
intensive;productive
intention;louable
intentionnel;constitutif
intentions;louables
inter;pares
intercesseur;serviteur
interdépendant;multidimensionnel
interdiction;prohibant
interdire;limiter
interdisant;limitant
interdisent;limitent
interdit;proscrit
interdite;permise
interdites;bannies
interdits;bannis
intéressant;surprenant
intéressante;pertinente
intéressantes;prometteuses
intéressants;pertinents
intéresse;plait
intéressé;convaincu
intéressées;convaincues
intéressement;incitatif
intéressent;abordent
intéresser;passionner
intéressés;avertis
intérêt;engouement
intérêts;conflits
intergouvernementale;onusienne
intérieure;personnelle
intérieures;relevantes
intérieurs;locaux
intérim;emploi
intérimaire;poste
intérimaires;alternants
interjection;antiphrase
interlocuteur;client
interlocuteurs;protagonistes
interloqué;dubitatif
intermédiaire;truchement
intermédiaires;habituels
interminable;looooooongue
interminables;loooongs
interministériel;gouvernemental
interministérielle;commission
international;mondial
internationale;locale
internationalisation;expansion
internationaux;globaux
interne;nasalvoie
interné;psychiatrique
interner;embastiller
internes;permanents
interpellation;expulsion
interpellé;saisi
interpeller;informer
interprétatif;traductif
interprétation;analyse
interprète;compositeur
interprétée;transcrite
interpréter;expliciter
interprètes;instrumentistes
interrogateur;perplexe
interrogatif;narquois
interrogation;quesion
interrogations;incertitudes
interrogatoire;aveux
interroge;enquiert
interrogées;avouent
interroger;attarder
interrogés;affirment
interrompre;entamer
interrompu;suspendu
interrompue;suspendue
interrompues;suivies
interrupteur;microswitch
interruption;pause
intersection;tangence
interstice;renfoncement
interstitiel;parenchyme
intertropical;subpolaire
intervallaire;lissement
intervalle;espacement
intervalles;harmoniques
intervenant;formateur
intervenants;experts
intervenir;engager
intervention;urgence
interventions;initiatives
intervenu;apparu
intervenue;rendue
intervenues;significatives
intervenus;apparus
intervienne;aboutisse
interviennent;arrivent
intervient;effectue
interviews;anecdotes
intestin;rectum
intime;conviction
intimement;indissociables
intimes;charnelles
intimidé;surpris
intimider;convaincre
intimité;impudeur
intitulé;opuscule
intitulée;parue
intolérable;ignoble
intolérance;haine
intoxiqué;affaibli
intoxiquer;corrompre
intra;muros
intraitable;tenace
intransigeant;vindicatif
intransitif;verbe
intrépide;vaillant
intrication;dichotomie
intrigant;effrayant
intrigue;captivante
intriguer;passionner
intrigues;rebondissements
introductif;extrait
introduction;conclusion
introduire;imposer
introduisant;installant
introduit;apparu
introduite;apparue
introuvable;impossible
intrus;ennemi
intruse;inoffensive
intrusion;alarme
intuition;conscience
inusable;insubmersible
inutile;malvenu
inutiles;absurdes
inutilisable;impossible
invalide;inapte
invalides;grabataires
invalidité;cotorep
invariabilité;pronominalisation
invariable;singulier
invariablement;souvent
invasion;destruction
invectiver;tancer
inventaire;exhaustif
invente;amuse
inventée;construite
inventer;improviser
inventeur;breveter
inventeurs;chimistes
inventif;impertinent
invention;histoire
inventions;supercheries
inventorier;examiner
inverse;exactement
inversement;proportionnelles
invertébré;mollusques
investi;soutenu
investies;soutenues
investigateur;clinicien
investigation;analyse
investigations;enquetes
investiguer;inspecter
investir;financer
investis;soutenus
investissement;achat
investissements;financiers
investissent;installent
investisseurs;banquiers
investit;mobilise
investiture;nomination
invincible;surpuissante
invisible;opaque
invisibles;fantomatiques
invitant;amenant
invitation;participer
invite;encourage
invité;interviewer
invitée;participante
invitées;candidates
inviter;encourager
invités;visiteurs
involontaire;fortuit
invoquant;affirmant
invoque;justifie
invraisemblable;ubuesque
invulnérable;insensible
iodure;trihydrure
irakien;jordanien
irakienne;afghane
irakiens;kurdes
iranien;pakistanais
iranienne;afghane
iraniennes;libanaises
iraniens;mollahs
irascible;aigri
irénique;doctrinaire
irlandais;britanniques
irlandaise;britannique
ironie;hypocrisie
ironique;boutade
ironiquement;plaisantant
ironise;relativise
irradiation;rayonnements
irradier;rayonne
irrationnel;illogique
irréalisable;inefficace
irréaliste;infaisable
irrecevable;pourvoi
irréductible;farouche
irréductibles;tenaces
irréel;angoissant
irréfléchi;imprudent
irréfutable;plausible
irrégularité;faiblesse
irrégularités;manquements
irrégulier;incomplet
irréligion;agnosticisme
irrémédiable;brutale
irremplaçable;infaillible
irréparable;grave
irrépressible;soudaine
irréprochable;correct
irrésistible;inimitable
irrésolu;indolent
irrésolution;indolence
irresponsabilité;hypocrisie
irresponsable;aberrant
irresponsables;indignes
irrévérence;effronterie
irrévérencieux;grivois
irréversible;gravissime
irrévocable;intransmissible
irriguer;arroser
irritable;anxieux
irritation;allergie
irriter;attrister
irruption;fracassante
isabelle;corinne
islam;religion
islamique;sunnite
islamiques;salafistes
islamisé;musulman
islamistes;musulmans
isolé;phoniquement
isolée;silencieuse
isolées;marginales
isolement;abandon
isoler;exclure
isolés;perdus
israélienne;gazaouie
israéliennes;gazaouies
israéliens;gazaouis
israélite;synagogue
issue;victorieuse
issues;extraites
issus;provenants
italiano;toscano
italien;transalpin
italienne;transalpine
italiennes;anglaises
italiens;allemands
itinéraires;jalonnements
itinérant;vagabond
ivoire;afrique
ivoiriens;gabonais
ivrogne;pochard
jacasser;marmonner
jachère;culturale
jacinthe;plante
jacquard;tricoter
jacques;christophe
jadéite;chlorite
jadis;anciennement
jaguar;panda
jaillir;ruisseler
jalousement;gardait
jalouser;rabaisser
jalousie;frustration
jaloux;orgueilleux
jamais;aucunement
jambe;tibia
jambes;genoux
jambon;parmesan
jambons;reblochons
japon;chine
japonais;chinois
japonaise;vietnamienne
japonaises;asiatiques
japper;aboye
jaquette;couverture
jardin;balcon
jardinier;botaniste
jardins;parcs
jargon;verbiage
jarret;rumsteck
jaser;ploguer
jaseuse;enquiquinante
jauge;surpuissance
jauger;cerner
jaune;marron
jaunes;noirs
jaunir;oxyder
jaunisse;conjonctivite
jaunissement;chlorose
javel;vinaigre
javelot;sagaie
jeannette;marceline
jeans;chemisiers
jésuite;capucin
jetait;regardait
jetant;tombant
jeter;ramasser
jeton;croupier
jetons;stacks
jette;plonge
jettent;tombent
jeudi;avril
jeune;fillette
jeunes;filles
jeunesse;adolescence
jeunesses;politiques
jingle;radioblog
jogging;pyjama
joies;jouissances
joindre;parvenir
joint;thorique
joints;raccords
jointure;jambe
joker;kickeur
jolie;mignone
jolis;sublimes
jonction;relie
joseph;fernand
jospinistes;giscardiens
jouait;affrontait
jouant;introduisant
jouée;retransmise
jouées;traduites
jouent;gagnent
jouer;faire
jouera;reprendra
jouets;bonbons
joueur;entraineur
joueurs;attaquants
jouir;branler
jouissance;servitude
jouit;procure
joujou;bidouiller
journal;hedomadaire
journalier;global
journaliste;blogueur
journalistes;blogueurs
journaux;feuilletons
journée;semaine
journées;harassantes
jours;quelques
jovial;bienveillant
joyeuse;guillerette
joyeux;festif
jubilation;extase
jubilé;soixantenaire
jubiler;rejouir
judaïsme;juive
judas;mezouza
judiciaire;administrative
judiciaires;correctionnelles
judicieux;souhaitable
jugeait;pensait
jugeant;regrettant
jugée;rendue
jugées;retenues
jugement;condamnatoire
jugements;condamnations
jugent;condamnent
juger;admettre
juges;arbitres
jugés;poursuivis
juifs;rabbins
juive;ashkenaze
juives;aryennes
jules;marcel
julien;lepers
jumeau;neveu
jumelle;fille
jument;pouline
jungle;luxuriante
junte;dictateur
jupes;tuniques
jupon;froufroutant
jurer;affirmer
jurés;avocats
juridiction;tribunal
juridictions;juges
juridique;institutionnel
juridiques;institutionnelles
juriste;avocate
juristes;experts
juron;beuglement
jurys;auditions
jusant;clapage
jusque;partout
juste;enfin
justement;pourtant
justes;acceptables
justesse;concision
justice;juridiction
justiciable;juridictionnelle
justicier;criminel
justifiait;conditionnait
justifiant;mentionnant
justification;raison
justifie;explique
justifié;discutable
justifiée;suffisante
justifiées;satisfaisantes
justifient;contestent
justifier;arguer
juteux;lucratifs
juvénile;adulte
juxtaposition;entrecroisement
kafkaïenne;oppressante
kanak;maori
karstique;dolines
kenyan;botswanais
kidnapper;racketter
kilomètres;lieues
kilos;grammes
kiosque;journal
klaxon;clignotants
koweïtiens;marocains
krach;cataclysme
kreuzer;schilling
kurde;chiite
kurdes;irakiennes
kyste;granulome
là-bas;maintenant
labeur;boulot
laboratoire;scientifique
laboratoires;scientifiques
laborieuse;fatigante
laborieuses;assidues
laborieux;hasardeux
labour;charrue
labourer;fertiliser
labyrinthe;minotaure
lacérer;arracher
lacet;ruban
lacez;recollez
lâche;rattrape
lâché;repris
lâcher;laisser
lâcheté;hypocrisie
laconique;lapidairement
lacté;choclat
lactifère;endocervical
lactique;acidose
lacunaire;inexacte
lacune;faille
lacunes;manques
lacustre;palafittes
ladite;susdit
lagune;fleuve
laïcité;burqa
laïcs;religieux
laideron;vieillarde
laideur;affreuse
laine;pelottes
lainé;mohair
laineux;poils
lainier;pastelier
laïque;progressiste
laïques;musulmanes
laissa;trouva
laissait;gardait
laissant;retirant
laisse;reste
laissé;voulu
laissée;pantoise
laissées;rendues
laissent;semblent
laisser;tenter
laissera;manquera
laisser-aller;foutisme
laissés;seuls
laissez;mettez
laissez-passer;ticket
laissons;perdons
laiteux;opalescents
laitier;fromager
laiton;bronze
laitue;sucrine
laïus;sempiternel
lambin;capon
lambris;planchers
lamelle;rainure
lamentable;risible
lamie;monstresse
laminage;extrusion
lampe;maglite
lampe de poche;tabletable
lampyre;lucifuge
lance;inaugure
lancée;poursuivie
lancement;finalisation
lancent;organisent
lancer;amorcer
lancés;apparus
lanceur;frappeur
lancinant;incessant
lancinante;question
landes;moors
langage;syntaxe
langages;compilateurs
lange;taphore
langes;cotons
langouste;lambi
langue;grammaire
langues;traductions
languette;goupille
languir;soupirer
lanière;ficelle
lanterne;lampions
lapereau;oisillon
lapin;mouton
lapins;rongeurs
lapsus;malentendu
laquais;valetaille
laque;porcelaine
larcin;cambriolage
large;panel
largement;souvent
larges;fines
largesse;bienveillance
largeur;taille
larme;sanglotante
larmes;pleure
larmoyer;plaindre
larynx;oesophage
lascif;libidineux
laser;photocoagulation
lassant;soulant
lasse;ennuie
lasser;impatienter
lassitude;frustation
latéral;ailier
latin;doctus
latine;grecque
latino;americano
latte;macchiato
laure;alexandra
lauréat;gagnant
lauréats;vainqueurs
lavabo;mitigeur
lave-auto;thermopompe
laver;rincer
lavette;guenille
laxatif;constipe
laxisme;irrespect
layette;tricotte
leader;charismatique
leaders;chefs
leadership;managerial
leasing;financing
lecanium;olivascens
lécher;fourrer
lèche-vitrines;magasinage
leçon;grammaire
leçons;magistrales
lecteurs;journalistes
lectrice;bloggeuse
lectures;chroniques
légal;contractuel
légale;substantielle
légalisation;avortement
légaliser;interdire
légataire;usufruit
légation;ambassadeur
légaux;commerciaux
légendaire;fabuleuse
légende;histoire
légendes;traditions
léger;subtil
légère;vigoureuse
légèrement;assez
légères;douces
légèreté;douceur
légers;performants
légion;brigade
législateur;gouvernement
législatif;consitutionnel
législation;politique
législations;jurisprudentielles
législative;institutionnelle
législatives;presidentielles
législature;session
légitime;revendication
légitimement;revendiquer
légitimer;conforter
légitimes;raisonnables
légitimité;justification
léguer;abandonner
légume;courge
légumes;salades
leitmotiv;sempiternel
lendemain;lundi
lendemains;maussades
léninisme;marxien
léniniste;marxisme
lente;inexorable
lentement;progressant
lenteur;brusquerie
lenteurs;insuffisances
lentille;fresnel
lents;fatigants
léser;spolier
lésiner;miser
lésion;radiculalgie
lessive;savon
lessiver;nettoyer
lester;arrimer
létal;neurotoxique
léthargie;stagnation
lettre;manuscrite
lettré;versificateur
lettres;boites
leurre;swimbait
leurrer;penser
leurs;certaines
levain;petrissage
levant;admirant
levée;restriction
levées;retenues
lèvent;accroupissent
lever;rendormir
lève-tôt;paresseux
levier;facteur
lèvre;menton
lèvres;lipstick
levure;zymase
lexical;textuel
lexicographie;dialectologie
lexicographique;classificatoire
lexique;dictionaire
lexiques;concordanciers
lézard;saurien
lézarde;craquelle
liaison;collaboration
liaisons;circulations
liant;rompt
liasse;envellope
libanais;palestinien
libanaise;palestinienne
libanaises;tunisiennes
libeller;virement
libéral;socialiste
libérale;progressiste
libérales;progressistes
libéralité;philanthropie
libération;renaissance
libérations;amnisties
libéraux;socialistes
libère;empare
libéré;prisonnier
libérée;reconquise
libérer;ramener
libérien;tanzanien
libertés;fondamentales
libertin;travesti
